"emp_no","last_name","first_name","hire_date"
"12124","Schaaf","Jingling","1986-06-29"
"12128","Barreiro","Yannik","1986-01-29"
"12131","Fandrianto","Gregory","1986-10-11"
"12145","Peir","Xiong","1986-07-14"
"12154","Snedden","Aksel","1986-05-24"
"12173","Nanard","Adel","1986-06-24"
"12198","Huxford","Shai","1986-05-04"
"12204","Mattern","Menkae","1986-01-05"
"12205","Rossi","Sushant","1986-04-14"
"12207","Menyhert","Radoslaw","1986-06-08"
"12211","Lores","Macha","1986-12-26"
"12212","Radhakrishnan","Atilio","1986-08-24"
"12222","Holburn","Abdelwaheb","1986-09-01"
"12223","Koyama","Niteen","1986-08-13"
"12225","Narahara","Yongqiao","1986-06-15"
"12255","Hoogerwoord","Pasqua","1986-12-08"
"12268","Kragelund","Nidapan","1986-11-28"
"12271","Krychniak","Sugwoo","1986-08-15"
"12276","Lenart","Yongmin","1986-08-12"
"12288","Bodoff","Paddy","1986-04-25"
"12301","Akazan","Oksana","1986-12-05"
"12306","Menyhert","Suvo","1986-05-18"
"12313","Narahari","Tsutomu","1986-10-21"
"12315","Binding","Haldun","1986-12-26"
"12327","Bruckman","DAIDA","1986-10-16"
"12347","Ranze","Remko","1986-03-23"
"12359","Yetto","Tokuyasu","1986-04-01"
"12374","Berstel","Ult","1986-07-01"
"12376","Matzen","Kwangsub","1986-11-11"
"12393","Uhrig","Soenke","1986-07-07"
"12411","Ibel","Shao","1986-08-17"
"12415","Sluis","Uri","1986-10-25"
"12420","Rande","Douadi","1986-11-12"
"12444","Reinhard","Monique","1986-12-10"
"12445","Mahmud","Luisa","1986-02-01"
"12451","Marzano","Pramod","1986-11-26"
"12454","Farris","Kerryn","1986-09-10"
"12461","Silva","Tesuro","1986-07-04"
"12462","Schmittgen","Zhenhua","1986-12-31"
"12464","Milicic","Shai","1986-08-18"
"12489","Munck","Arnould","1986-04-11"
"12501","Matheson","Morrie","1986-06-05"
"12512","Remmele","Zissis","1986-07-25"
"12535","Bergere","Kazuhiko","1986-03-16"
"12544","Hartvigsen","Kankanahalli","1986-11-23"
"12560","Makinen","Leszek","1986-05-19"
"12572","McConalogue","Sungwon","1986-07-20"
"12578","Perin","Tamiya","1986-07-28"
"12580","Journel","Pramod","1986-12-29"
"12596","Roisin","Breannda","1986-04-25"
"12600","Garrabrants","Lucian","1986-09-23"
"12624","Zykh","Zhongwei","1986-01-25"
"12638","Seiwald","Yuqun","1986-07-01"
"12650","Demke","Odoardo","1986-05-22"
"12653","Kaelbling","Hitomi","1986-10-07"
"12654","Tagansky","Zhaofang","1986-07-24"
"12661","Lung","Berry","1986-07-27"
"12663","Stellhorn","Nobuyoshi","1986-09-29"
"12690","Mitchem","Valter","1986-09-13"
"12693","Demke","Patricia","1986-03-03"
"12695","Crelier","Lubomir","1986-07-23"
"12697","Brizzi","Uri","1986-07-11"
"12705","Driscoll","Dung","1986-08-07"
"12711","Jiafu","Yechiam","1986-11-21"
"12713","Demir","Byong","1986-04-03"
"12718","Kamber","Susanne","1986-08-23"
"12723","Baez","Arvin","1986-06-14"
"12734","Frijda","Gil","1986-03-03"
"12736","Tempesti","Prasadram","1986-11-09"
"12760","Tomescu","Sergi","1986-10-19"
"12775","Berendt","Mariangiola","1986-02-06"
"12779","Birrer","Miomir","1986-01-05"
"12782","Pietracaprina","Weidon","1986-08-23"
"12787","Shanbhogue","Bezalel","1986-12-16"
"12790","Perl","Gunilla","1986-04-22"
"12795","Fordan","Masoud","1986-10-11"
"12809","Gargeya","Huei","1986-01-15"
"12819","Gubsky","Mountaz","1986-11-30"
"12838","Avouris","Danel","1986-09-24"
"12852","Baranowski","Karlis","1986-03-16"
"12866","Argence","Jaroslava","1986-10-04"
"12872","Schmittgen","Marl","1986-09-09"
"12879","Eugenio","Baruch","1986-05-14"
"12888","Erni","Martien","1986-05-07"
"12891","Ozeki","Ibibia","1986-11-09"
"12896","Delgrande","Mircea","1986-10-29"
"12916","Gihr","Lijie","1986-04-04"
"12933","Kranzdorf","Youjian","1986-05-19"
"12935","Sudkamp","Shuzo","1986-03-24"
"12937","Cincotta","Arup","1986-01-26"
"12941","Perelgut","Tommaso","1986-11-06"
"12954","Walston","Dinkar","1986-05-08"
"12961","Rosch","Guther","1986-08-11"
"12970","Bellmore","Sadun","1986-08-06"
"12971","Gladwell","Tetsurou","1986-06-21"
"12974","Frolund","Gift","1986-10-24"
"12993","Sessa","Subhash","1986-08-25"
"13005","Kobara","Gilbert","1986-12-08"
"13006","Spelt","Jolita","1986-11-07"
"13014","Budinsky","Gianluca","1986-01-21"
"13016","Figueira","Fuqing","1986-06-02"
"13037","Schaad","Alagu","1986-09-02"
"13040","Berendt","Danny","1986-07-07"
"13041","Zucker","Kazuhide","1986-05-21"
"13053","Carrera","Randy","1986-12-23"
"13062","Baak","Xinglin","1986-11-25"
"13068","Magalhaes","Aksel","1986-07-18"
"13075","Morrin","Rosella","1986-08-17"
"13094","Servieres","Sanjay","1986-01-01"
"13098","Fiutem","Lijie","1986-02-26"
"13105","Carrere","Zito","1986-01-19"
"13106","Dahlbom","Soenke","1986-12-06"
"13123","Miake","Hatem","1986-10-10"
"13156","Millington","Akeel","1986-12-29"
"13162","Goodrum","Shaw","1986-12-18"
"13170","Bernardeschi","Cheong","1986-05-07"
"13178","Itschner","Kankanahalli","1986-01-10"
"13186","Barbanera","Kyoichi","1986-04-29"
"13193","Miyakawa","Shimshon","1986-09-05"
"13194","Oberman","Aleksandar","1986-08-09"
"13195","Baak","Toshiki","1986-03-02"
"13198","McAlpine","Nevin","1986-12-21"
"13199","Bergere","Gunilla","1986-04-17"
"13202","Scharstein","Aram","1986-03-29"
"13210","Klassen","Jianhua","1986-09-19"
"13219","Constantine","Wojceich","1986-08-12"
"13232","Fujisaki","Mitchel","1986-06-02"
"13243","Huxford","Fay","1986-12-17"
"13257","Poehlman","Francoise","1986-07-12"
"13264","Hofting","Oguz","1986-08-23"
"13274","Anguita","Valery","1986-10-01"
"13276","Seuren","Yechiam","1986-03-09"
"13278","Denos","Chenxi","1986-06-11"
"13281","Wursthorn","Luerbio","1986-10-07"
"13283","Liedekerke","Unal","1986-10-19"
"13286","Smailagic","Basem","1986-11-09"
"13291","Stamatiou","Georg","1986-10-30"
"13298","Shokrollahi","Sasan","1986-11-06"
"13299","Butner","Guiseppe","1986-07-17"
"13300","Denis","Mountaz","1986-08-28"
"13323","Danecki","Baruch","1986-12-30"
"13334","Wroclawski","Kwangsub","1986-04-10"
"13341","Doering","Bodh","1986-03-11"
"13363","Straney","Temple","1986-02-19"
"13371","Riexinger","Nakhoon","1986-07-29"
"13385","Buchter","Claudi","1986-06-10"
"13386","Sgarro","Khosrow","1986-02-23"
"13398","Valette","Fuqing","1986-03-10"
"13405","Baba","Randy","1986-09-18"
"13408","Lagarias","Sreekrishna","1986-04-26"
"13415","Speer","Nathalie","1986-01-01"
"13430","Jakobus","Irene","1986-02-05"
"13431","Sidje","Danco","1986-10-27"
"13432","Armand","Masadi","1986-09-14"
"13445","Dehkordi","Renee","1986-04-14"
"13450","Hennebert","Nectarios","1986-03-15"
"13451","Weiland","Gretta","1986-08-23"
"13457","Parfitt","Shooichi","1986-01-18"
"13464","Jeansoulin","Chanjung","1986-08-07"
"13473","Bruckman","Mooi","1986-12-16"
"13477","Karlin","Reuven","1986-01-14"
"13483","Ananiadou","Arco","1986-02-16"
"13484","Setlzner","Kristina","1986-11-10"
"13485","Perly","Isamu","1986-08-22"
"13488","Krohm","Zhiwei","1986-02-09"
"13490","Theuretzbacher","Sadegh","1986-04-27"
"13501","Peek","Caolyn","1986-07-26"
"13504","Mandell","Parto","1986-12-21"
"13508","Shackell","Kazuyasu","1986-05-09"
"13511","Pocchiola","Qiwen","1986-08-12"
"13529","Matzen","Toshimori","1986-07-06"
"13531","Sluis","Shuichi","1986-01-04"
"13535","Schlenzig","Arunas","1986-05-19"
"13543","Garigliano","Tua","1986-07-28"
"13560","Jeong","Sibyl","1986-07-28"
"13562","Cooley","Mary","1986-02-24"
"13570","Perez","Kiyomitsu","1986-03-15"
"13572","Beutelspacher","Honglan","1986-09-15"
"13576","Engberts","Jungsoon","1986-08-22"
"13590","Showalter","Sashi","1986-03-14"
"13601","Feldhoffer","Lillian","1986-07-15"
"13604","Stille","Tzu","1986-03-03"
"13615","Marrevee","Sugwoo","1986-07-14"
"13621","Haddadi","Fei","1986-08-24"
"13639","Zeilberger","Marie","1986-10-20"
"13641","Georgatos","Chandrasekaran","1986-12-16"
"13652","Ramsak","Eldridge","1986-01-30"
"13656","Ferretti","Oldrich","1986-04-09"
"13669","Peng","Hidde","1986-01-24"
"13677","Hiyoshi","Masasuke","1986-03-21"
"13704","Kumaresan","Vishu","1986-05-03"
"13714","Lalonde","Kirk","1986-05-26"
"13715","Range","Licheng","1986-11-03"
"13718","Gronowski","Lein","1986-11-22"
"13728","Swab","Insup","1986-01-03"
"13732","Hutter","Danae","1986-02-12"
"13757","Demir","Soenke","1986-02-22"
"13766","Heemskerk","Tremaine","1986-08-18"
"13768","Lovengreen","Sedat","1986-11-19"
"13769","Trogemann","Yakichi","1986-10-24"
"13789","Ranst","Ramalingam","1986-03-04"
"13795","Gewali","Mayuri","1986-08-04"
"13801","Mayerwieser","Shih","1986-03-08"
"13808","Stentiford","Becky","1986-03-08"
"13809","Basagni","Kiyotoshi","1986-01-12"
"13825","Pell","Arlette","1986-08-02"
"13833","Grospietsch","Sumali","1986-09-23"
"13841","Spinelli","Christophe","1986-01-09"
"13850","Kroft","Hyuckchul","1986-02-27"
"13853","Roohalamini","Mingsen","1986-06-02"
"13855","Argence","Zhensheng","1986-09-05"
"13864","Attimonelli","Gladys","1986-01-31"
"13868","Rosin","Lidong","1986-07-04"
"13871","Plavsic","Anoosh","1986-03-25"
"13906","Dalton","Serif","1986-08-10"
"13916","Wynblatt","Vidya","1986-06-06"
"13938","Lueh","Rosella","1986-04-15"
"13947","Nishimukai","Gal","1986-06-18"
"13957","Chelton","Angus","1986-04-18"
"13960","Hettesheimer","Nechama","1986-01-22"
"13970","Passafiume","Howell","1986-04-21"
"13979","Highland","Turgut","1986-06-08"
"13982","Vieri","Marsja","1986-05-31"
"14010","Preusig","Sushant","1986-05-21"
"14016","Alencar","Shimshon","1986-06-23"
"14081","Fontet","Alain","1986-01-13"
"14083","Figueira","Sashi","1986-04-13"
"14094","Gajiwala","Masaru","1986-11-08"
"14104","Demian","Sudhanshu","1986-01-02"
"14107","Rindone","Xiahua","1986-09-04"
"14116","Wilfing","Yuguang","1986-07-10"
"14124","Bennis","Mohammad","1986-07-07"
"14133","Demri","Gou","1986-08-24"
"14134","Peek","Leen","1986-11-01"
"14136","Chappelet","Vasilii","1986-05-06"
"14151","Esposito","Mariangiola","1986-11-30"
"14171","Garnham","Gift","1986-01-10"
"14184","Barvinok","Nalini","1986-08-24"
"14192","Kroha","Ayakannu","1986-08-15"
"14202","Marciano","Shooichi","1986-12-05"
"14224","Conta","Guther","1986-01-30"
"14237","Gerlach","Abdulla","1986-06-13"
"14258","Rothenberg","Haldun","1986-02-04"
"14260","Aloia","Arlette","1986-11-26"
"14265","Roison","Jaber","1986-01-06"
"14271","Bernatsky","Rosita","1986-04-07"
"14298","Granlund","Chriss","1986-12-15"
"14299","Kitsuregawa","Manu","1986-08-05"
"14309","Speek","Aron","1986-10-21"
"14313","Muntz","Armond","1986-06-01"
"14314","Fujisaki","Baziley","1986-07-24"
"14320","Schaar","Sreenivas","1986-06-30"
"14322","Kakkad","Shem","1986-10-23"
"14333","Pettey","Alois","1986-01-15"
"14362","Kleiser","Michaela","1986-09-30"
"14374","Tomescu","Berthier","1986-03-20"
"14417","Aloisi","Shrikanth","1986-05-14"
"14427","Percebois","Duangkaew","1986-08-23"
"14439","Woycyznski","Raimond","1986-11-01"
"14447","Denos","Prodip","1986-10-22"
"14449","Muntz","Isaac","1986-11-08"
"14459","Boreale","Aruna","1986-12-06"
"14461","Hitomi","Weicheng","1986-04-20"
"14466","Rande","Fumiko","1986-11-25"
"14474","Ferretti","Taiji","1986-08-25"
"14479","Suessmith","Thodoros","1986-06-14"
"14483","Marrevee","Supot","1986-01-30"
"14486","Birdsall","Indrajit","1986-07-13"
"14493","Nannarelli","Shuichi","1986-04-04"
"14512","Lupu","Oldrich","1986-05-23"
"14516","Underwood","Kristian","1986-11-26"
"14518","Peir","Patricia","1986-07-06"
"14537","Engelmann","Babette","1986-06-02"
"14540","Hebden","Khosrow","1986-11-07"
"14551","Sinitsyn","Richard","1986-01-05"
"14552","Snyers","Ibibia","1986-09-12"
"14587","Vural","Guangming","1986-11-29"
"14603","Marquardt","Lech","1986-01-19"
"14609","Picel","Bartek","1986-08-29"
"14621","Wixon","Souichi","1986-04-15"
"14648","Lorys","IEEE","1986-11-16"
"14649","Parfitt","Nigel","1986-06-12"
"14650","Georg","Yuqun","1986-10-04"
"14652","Jayawardene","Dannz","1986-03-31"
"14666","Strooper","Rosalie","1986-10-28"
"14671","Perri","Elliott","1986-11-28"
"14683","Basart","Alois","1986-12-02"
"14690","Bellone","Yechezkel","1986-02-25"
"14691","Bolsens","Ulf","1986-04-07"
"14693","Stranks","Brewster","1986-05-05"
"14695","Cromarty","Udo","1986-01-04"
"14701","Nittel","Kwee","1986-08-12"
"14706","Guting","Hatem","1986-06-07"
"14712","Bauknecht","Atreyi","1986-08-31"
"14724","Lemarechal","Aron","1986-09-10"
"14728","Cichocki","Serap","1986-07-09"
"14734","Danner","Uri","1986-09-10"
"14747","Leppanen","Toong","1986-02-01"
"14762","Bolotov","Kayoko","1986-08-15"
"14780","Bruckman","Marlo","1986-09-19"
"14781","Rissland","Huican","1986-07-13"
"14788","Vigier","Eishiro","1986-11-27"
"14795","Merkl","Dung","1986-07-04"
"14799","Ponthieu","Mrinalini","1986-06-07"
"14824","Luby","Jeane","1986-04-07"
"14829","Wilharm","Bojan","1986-08-01"
"14836","Paludetto","Chiradeep","1986-07-03"
"14839","Cronin","Changho","1986-11-13"
"14843","Swick","Yaghout","1986-06-23"
"14844","Rabejac","Mats","1986-10-22"
"14845","Homond","Theron","1986-01-01"
"14849","Ashish","Aluzio","1986-04-16"
"14856","Bernardinello","Bluma","1986-11-26"
"14865","Serra","Ute","1986-07-13"
"14888","Barriga","Temple","1986-12-09"
"14898","Jakobus","Gurbir","1986-06-16"
"14907","Luga","Nakhoon","1986-12-18"
"14913","Fujisaki","Karlis","1986-01-15"
"14918","Kaiserswerth","Kellie","1986-11-18"
"14938","Mitina","King","1986-04-30"
"14949","Reinhart","Insup","1986-02-01"
"14953","Wallrath","Chinya","1986-08-25"
"14965","Swiler","Gila","1986-01-11"
"14966","Underwood","Zhanqiu","1986-08-27"
"14969","Himler","Hongzue","1986-01-03"
"14984","Parhami","Sangeeta","1986-05-04"
"14989","Marzano","Shalesh","1986-03-18"
"14994","Middleton","Mostafa","1986-10-15"
"15005","Sadowsky","Kiam","1986-05-23"
"15006","Cools","Miquel","1986-01-08"
"15009","Figueira","Huican","1986-08-03"
"15017","Thorelli","Xiaobin","1986-06-12"
"15028","Mandell","Toney","1986-04-22"
"15034","Hoogerwoord","Pranas","1986-01-08"
"15038","Dalphin","Weidon","1986-01-03"
"15045","Luby","Marco","1986-05-14"
"15057","Azulay","Toshiko","1986-10-18"
"15058","Bugrara","Bouchung","1986-05-31"
"15068","Selvestrel","Sven","1986-10-09"
"15073","Murthy","Make","1986-04-30"
"15075","Rijsenbrij","Radoslaw","1986-04-24"
"15077","Taubenfeld","Toshiki","1986-07-19"
"15082","Zirintsis","Guadalupe","1986-04-01"
"15090","Copas","Collette","1986-05-18"
"15104","Rodite","Badri","1986-06-13"
"15105","Itzigehl","Sudhanshu","1986-06-09"
"15107","Heijenga","Morris","1986-04-01"
"15114","Honglei","Pantung","1986-12-21"
"15122","Chorvat","Make","1986-03-28"
"15130","Puppo","Mohua","1986-06-24"
"15134","Luiz","Arun","1986-08-16"
"15141","Restivo","Takahito","1986-06-30"
"15157","Ramras","Eckart","1986-03-05"
"15167","Beznosov","Mani","1986-05-21"
"15170","Bale","Mana","1986-09-18"
"15172","Pagter","Rafols","1986-06-20"
"15186","Birdsall","Kenroku","1986-12-19"
"15196","Duclos","Souichi","1986-07-31"
"15199","Bernardinello","Heeju","1986-10-06"
"15202","Irland","Pranay","1986-07-19"
"15213","Molenkamp","Arie","1986-04-25"
"15225","Manderick","Susanna","1986-05-25"
"15229","Acton","Xiahua","1986-07-07"
"15230","Suessmith","Keiichiro","1986-12-10"
"15232","Scharstein","Jordanka","1986-07-01"
"15238","Vandervoorde","Arunas","1986-06-12"
"15248","Baar","Edwin","1986-02-04"
"15249","Pargaonkar","Guiseppe","1986-01-23"
"15250","Fraisse","Abdelghani","1986-05-27"
"15259","Schaft","Kauko","1986-08-20"
